0,1
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-conference-beta""","Find me groups labeled as ""ds-swym-conference-beta""."
"[ds6w:type]:(""foaf:Group"" OR ""pno:Person"")",Find me all entities that are either a foaf:Group or a pno:Person.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:YzBQ4aF1T4SoXO4eo6y2qg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-19 06:28:29"") OR ([ds6w:modified]>""2021-03-03 05:37:45"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:YzBQ4aF1T4SoXO4eo6y2qg"" that were modified before June 19, 2020, 6:28:29 AM or after March 3, 2021, 5:37:45 AM."
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-ug-copilot""","Find me groups labeled as ""ds-swym-ug-copilot""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:c2-G51rTSM-TD_F-WzUTng"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 10:40:56"") OR ([ds6w:modified]>""2020-06-12 08:14:59"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:c2-G51rTSM-TD_F-WzUTng"" created before June 4, 2020, 10:40:56 AM or after June 12, 2020, 8:14:59 AM."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1SWnL2CsQn6OZIAnJzh82g"")",Find the resource with the given UID.
"[ds6w:type]:(""pno:Person"")",Find me all persons.
"[ds6w:label]:""SRE_Telephony""","Find documents labeled as ""SRE_Telephony""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:f7Ck74InT2yPkHPir-iNzA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-03-09 00:52:16"") OR ([ds6w:modified]>""2024-05-17 16:22:51"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:f7Ck74InT2yPkHPir-iNzA"" that were modified between March 9, 2019, and May 17, 2024."
[ds6w:label]:(Feed reader*),"Find documents with labels containing the phrase ""Feed reader""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:LiV1BhHESSS-CNH4ax0HVw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:685"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-10-04 20:19:41"") OR ([ds6w:modified]>""2024-05-20 13:51:25"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:685"" that were created before October 4, 2012, 20:19:41 or after May 20, 2024, 13:51:25."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:RsklXAJFS5yBcNClO1f_1A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-06 13:38:12"") OR ([ds6w:modified]>""2024-04-24 13:04:47"")))","Find all posts, ideas, or questions from the community ""swym:215dsi0708:DSEXT001:community:RsklXAJFS5yBcNClO1f_1A"" that were created before October 6, 2022, 13:38:12 or after April 24, 2024, 13:04:47."
"[ds6w:modified] >= ""2024-05-21T05:15:23Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Find all documents modified on or after May 21, 2024, 5:15:23 AM, that are either Drive Files or Drive Folders."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:-TwZeYPoT8qSglk4yvwuRQ"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1106"")",Find the resource with the given UID.
